r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
780.4,287831839,114.370689,-69.749826,76,36,b'073728.97-694459.3',57030.475,0,0,2,0,1,0.711,,,,,,,,,,,,,,,,,18.415,0.019,18.693,0.356,17.867,0.033,17.806,0.153,60.0,
780.63,287831385,114.450726,-69.735595,93,115,b'073748.18-694408.1',57030.4748,0,0,3,0,1,0.84,,,,,,,,,,,,,18.634,0.052,18.629,0.249,17.886,0.034,18.087,0.168,17.521,0.019,17.622,0.093,14.6,287831377.0
781.27,287831615,114.40592,-69.356667,13,36,b'073737.42-692124.0',57030.4737,0,0,1,0,1,0.656,,,,,18.229,0.108,18.701,0.417,,,,,,,,,,,,,,,,,60.0,
781.66,287832159,113.734744,-69.719225,104,36,b'073456.31-694309.1',57031.6811,0,0,5,0,1,0.951,,,,,,,,,18.133,0.059,17.814,0.134,17.826,0.015,17.886,0.156,17.314,0.016,17.301,0.101,17.12,0.021,17.216,0.116,60.0,
781.96,287834302,113.529044,-69.61102,16,36,b'073406.97-693639.7',57033.2158,0,0,11,1,1,0.992,16.985,0.087,17.223,0.541,16.54,0.01,16.591,0.235,15.025,0.004,15.036,0.013,14.549,0.006,14.573,0.009,14.134,0.003,14.174,0.025,14.016,0.007,14.037,0.052,60.0,
782.56,287799883,114.683273,-69.453959,96,81,b'073843.98-692714.2',57036.5063,0,0,3,0,1,0.437,,,,,,,,,,,,,17.128,0.028,17.574,0.19,16.911,0.016,17.219,0.144,16.747,0.031,17.154,0.167,60.0,
782.62,287832404,113.505917,-69.565565,13,36,b'073401.41-693356.0',57030.4746,0,0,4,0,1,0.98,,,,,,,,,17.461,0.01,17.404,0.096,16.725,0.009,16.761,0.056,16.21,0.005,16.31,0.043,16.004,0.005,16.074,0.039,9.8,287832406.0
782.76,287847200,114.159651,-69.333198,13,36,b'073638.31-691959.5',57030.4748,0,0,1,0,1,0.406,,,,,,,,,,,,,,,,,18.909,0.087,18.693,0.222,,,,,60.0,
783.13,287831854,114.28102,-69.761154,162,36,b'073707.43-694540.1',57030.475,0,0,2,0,1,0.518,,,,,,,,,,,,,,,,,18.21,0.061,17.913,0.167,18.297,0.024,18.49,0.22,5.4,287831855.0
784.55,287832454,113.522964,-69.496754,77,112,b'073405.50-692948.2',57030.4748,0,0,3,0,1,0.727,,,,,,,,,,,,,18.329,0.023,18.371,0.185,17.897,0.012,18.0,0.163,17.472,0.04,17.353,0.12,60.0,
784.65,287831218,114.750074,-69.560982,13,36,b'073900.01-693339.5',57030.4751,0,0,1,0,1,0.485,,,,,,,,,,,,,,,,,,,,,18.722,0.077,18.84,0.291,60.0,
784.8,287831219,114.749747,-69.538825,15,36,b'073859.94-693219.7',57030.4745,0,0,5,0,1,0.982,,,,,16.997,0.026,16.751,0.118,16.058,0.006,16.101,0.03,15.741,0.012,15.687,0.026,15.551,0.005,15.586,0.023,15.506,0.007,15.591,0.026,60.0,
784.83,287847821,113.759788,-69.374407,73,85,b'073502.31-692227.7',57033.0597,2,1,7,0,1,0.982,,,,,,,,,17.468,0.017,17.606,0.074,17.011,0.041,17.168,0.164,16.637,0.041,16.664,0.096,16.565,0.014,16.691,0.149,2.8,287847822.0
784.85,287831220,114.750397,-69.543284,167,60,b'073900.09-693235.8',57030.475,0,0,2,0,1,0.106,,,,,,,,,,,,,,,,,17.913,0.167,17.267,0.131,17.663,0.147,17.228,0.205,60.0,
784.99,287832405,113.503275,-69.560683,14,67,b'073400.78-693338.4',57030.4747,0,0,3,0,1,0.49,,,,,,,,,18.83,0.041,18.923,0.246,,,,,18.66,0.016,18.845,0.3,18.562,0.031,18.666,0.384,60.0,
786.21,287799880,114.703765,-69.467227,65,45,b'073848.90-692802.0',57036.5063,0,0,3,0,1,0.913,,,,,,,,,,,,,15.605,0.01,15.666,0.054,15.129,0.004,15.124,0.037,14.948,0.003,14.933,0.028,60.0,
786.43,287834300,113.540646,-69.627323,19,44,b'073409.75-693738.3',57030.475,0,0,2,0,1,0.876,,,,,,,,,,,,,,,,,17.533,0.01,17.546,0.105,17.187,0.013,17.338,0.097,60.0,
786.43,287831194,114.689085,-69.646793,15,36,b'073845.38-693848.4',57033.2158,0,0,11,1,1,0.983,16.134,0.013,16.13,0.119,15.782,0.041,15.709,0.057,14.765,0.003,14.784,0.011,14.464,0.013,14.47,0.023,14.231,0.005,14.27,0.04,14.186,0.017,14.231,0.018,60.0,
786.65,287831583,114.526686,-69.382758,43,162,b'073806.39-692257.9',57032.4853,2,0,6,0,1,0.972,,,,,,,,,18.733,0.014,18.748,0.236,17.769,0.009,17.824,0.141,16.819,0.008,16.876,0.083,16.574,0.023,16.65,0.103,60.0,
786.68,287832083,113.85734,-69.747731,12,36,b'073525.76-694451.8',57030.4751,0,0,1,0,1,0.499,,,,,,,,,,,,,,,,,,,,,18.509,0.101,18.615,0.334,60.0,
787.59,287834059,113.643784,-69.690203,12,36,b'073434.50-694124.7',57030.4748,0,0,1,0,1,0.456,,,,,,,,,,,,,,,,,18.591,0.05,18.359,0.24,,,,,60.0,
787.73,287832018,114.067882,-69.768177,144,42,b'073616.33-694605.5',57031.9828,2,0,4,0,1,0.9,,,,,,,,,,,,,18.659,0.056,18.861,0.23,17.762,0.015,17.71,0.123,17.192,0.033,17.403,0.1,60.0,
787.82,287847822,113.758439,-69.373725,13,36,b'073502.02-692225.4',57036.506,3,0,1,0,1,0.361,,,,,,,,,,,,,17.431,0.159,18.438,0.184,,,,,,,,,2.8,287847821.0
788.49,287834061,113.627192,-69.683322,109,183,b'073430.53-694100.0',57030.475,0,0,2,0,1,0.489,,,,,,,,,,,,,,,,,18.47,0.054,18.957,0.305,18.233,0.084,17.751,0.179,60.0,
789.04,287832445,113.499796,-69.544615,13,36,b'073359.95-693240.6',57030.4751,0,0,1,0,1,0.659,,,,,,,,,,,,,,,,,,,,,18.12,0.076,17.929,0.173,60.0,
790.0,287832406,113.500412,-69.567511,15,36,b'073400.10-693403.0',57030.4746,0,0,4,0,1,0.982,,,,,,,,,17.086,0.011,17.037,0.06,16.421,0.01,16.509,0.043,15.927,0.004,15.969,0.034,15.648,0.007,15.675,0.031,9.8,287832404.0
790.27,287832453,113.523482,-69.490095,28,36,b'073405.64-692924.3',57033.0597,0,0,7,0,1,0.982,,,,,,,,,16.945,0.009,16.947,0.057,16.302,0.003,16.295,0.051,15.77,0.015,15.819,0.025,15.569,0.005,15.628,0.069,60.0,
790.4,287847824,113.742807,-69.376957,55,62,b'073458.22-692236.9',57032.8875,0,0,5,0,1,0.96,,,,,,,,,,,,,18.78,0.044,18.598,0.257,17.103,0.044,17.185,0.078,16.543,0.06,16.789,0.072,5.3,287847825.0
790.41,287847313,114.131883,-69.330775,35,36,b'073631.64-691950.8',57032.4849,0,9,9,1,1,0.983,17.507,0.024,17.634,0.196,17.005,0.031,16.756,0.109,16.141,0.005,16.134,0.031,15.837,0.022,15.883,0.031,15.575,0.016,15.615,0.034,15.466,0.02,15.554,0.087,9.4,287847312.0
791.11,287847825,113.739063,-69.377732,13,36,b'073457.37-692239.8',57030.4751,0,0,1,0,1,0.495,,,,,,,,,,,,,,,,,,,,,18.429,0.034,19.013,0.239,5.3,287847824.0
791.27,287832092,113.802064,-69.738871,93,119,b'073512.48-694419.9',57033.0597,2,0,7,0,1,0.942,,,,,,,,,17.996,0.013,17.908,0.135,17.405,0.037,17.347,0.074,17.097,0.051,17.139,0.139,16.888,0.125,16.798,0.137,6.4,287832091.0
791.58,287831377,114.46202,-69.736748,58,69,b'073750.88-694412.2',57030.4748,0,0,3,0,1,0.854,,,,,,,,,,,,,17.883,0.016,17.925,0.139,17.572,0.017,17.712,0.131,17.535,0.024,17.736,0.18,14.6,287831385.0
791.96,287834297,113.547176,-69.637199,13,36,b'073411.32-693813.9',57030.4751,0,0,1,0,1,0.479,,,,,,,,,,,,,,,,,,,,,18.228,0.027,18.22,0.211,60.0,
792.58,287847316,114.09433,-69.33046,42,36,b'073622.63-691949.7',57032.7364,0,0,8,0,1,0.981,,,,,17.56,0.047,18.16,0.342,16.486,0.022,16.635,0.039,16.197,0.012,16.231,0.148,15.975,0.017,16.056,0.03,15.832,0.003,15.919,0.079,60.0,
792.8,287834321,113.517443,-69.607673,45,36,b'073404.18-693627.6',57033.0597,0,0,7,0,1,0.974,,,,,,,,,17.474,0.031,17.799,0.161,17.02,0.046,17.049,0.145,16.601,0.035,16.621,0.118,16.499,0.015,16.539,0.108,4.9,287834322.0
792.91,287831388,114.413419,-69.746738,61,36,b'073739.21-694448.2',57030.475,0,0,2,0,1,0.787,,,,,,,,,,,,,,,,,17.933,0.022,17.882,0.157,17.527,0.033,17.845,0.14,60.0,
792.92,287832090,113.81291,-69.741614,32,36,b'073515.09-694429.8',57030.475,0,0,2,0,1,0.796,,,,,,,,,,,,,,,,,18.227,0.037,18.457,0.332,17.679,0.045,17.972,0.158,10.7,287832091.0
793.04,287831192,114.704633,-69.639454,13,36,b'073849.11-693822.0',57030.4751,0,0,1,0,1,0.387,,,,,,,,,,,,,,,,,,,,,18.543,0.074,18.458,0.282,60.0,
793.38,287832448,113.500852,-69.524292,50,50,b'073400.19-693127.4',57030.4746,0,0,4,0,1,0.963,,,,,,,,,18.5,0.037,18.674,0.155,17.725,0.007,17.732,0.119,16.806,0.016,16.841,0.075,16.539,0.009,16.638,0.064,60.0,
793.49,287831901,114.094689,-69.770457,12,36,b'073622.72-694613.6',57030.4751,0,0,1,0,1,0.875,,,,,,,,,,,,,,,,,,,,,17.431,0.04,17.947,0.216,60.0,
793.53,287832091,113.805119,-69.740235,63,138,b'073513.26-694424.8',57032.4853,0,0,6,0,1,0.954,,,,,,,,,18.751,0.048,18.855,0.213,17.593,0.035,17.434,0.117,17.052,0.009,17.131,0.065,16.994,0.02,16.977,0.076,6.4,287832092.0
793.53,287847350,113.954051,-69.338412,38,36,b'073548.97-692018.2',57030.475,0,0,2,0,1,0.528,,,,,,,,,,,,,,,,,18.432,0.014,18.579,0.16,18.167,0.049,18.272,0.232,60.0,
793.86,287847854,113.678212,-69.395784,45,36,b'073442.78-692344.8',57033.49,0,0,11,1,2,0.986,16.716,0.018,16.846,0.356,16.371,0.02,16.708,0.321,15.245,0.005,15.288,0.015,14.912,0.01,14.926,0.019,14.659,0.016,14.706,0.01,14.574,0.008,14.647,0.071,60.0,
793.99,287847314,114.115093,-69.329811,19,39,b'073627.62-691947.2',57033.0597,0,0,7,0,1,0.971,,,,,,,,,17.496,0.006,17.521,0.082,17.147,0.049,17.132,0.155,16.757,0.069,16.857,0.056,16.643,0.008,16.67,0.072,60.0,
794.02,287831342,114.558956,-69.711648,21,36,b'073814.14-694241.9',57031.6809,1,0,5,0,1,0.983,,,,,,,,,16.539,0.008,16.567,0.04,15.74,0.015,15.773,0.022,15.193,0.007,15.26,0.018,14.972,0.01,14.979,0.017,60.0,
794.36,287832170,113.670938,-69.703623,47,43,b'073441.03-694212.9',57033.0597,0,0,7,0,1,0.972,,,,,,,,,17.344,0.009,17.377,0.075,17.02,0.041,17.062,0.108,16.742,0.055,16.638,0.089,16.502,0.063,16.704,0.066,60.0,
794.45,287831587,114.48263,-69.368348,13,36,b'073755.83-692206.0',57030.4748,0,0,1,0,1,0.455,,,,,,,,,,,,,,,,,18.663,0.021,18.572,0.292,,,,,60.0,
794.57,287847853,113.688402,-69.39197,66,43,b'073445.23-692331.0',57033.0597,0,0,7,0,1,0.982,,,,,,,,,18.11,0.026,18.368,0.176,17.449,0.022,17.448,0.233,16.888,0.017,16.926,0.106,16.693,0.05,16.602,0.215,60.0,
795.03,287832020,114.033228,-69.768756,12,36,b'073607.97-694607.5',57036.5067,0,0,1,0,1,0.351,,,,,,,,,,,,,,,,,,,,,17.23,0.027,17.608,0.139,60.0,
795.24,287832442,113.50702,-69.507791,77,105,b'073401.70-693028.2',57032.4853,0,0,6,0,1,0.975,,,,,,,,,17.545,0.01,17.561,0.101,17.148,0.012,17.243,0.073,16.801,0.039,16.91,0.057,16.634,0.017,16.65,0.253,60.0,
795.41,287831624,114.370457,-69.346603,13,36,b'073728.90-692047.7',57030.4748,0,0,1,0,1,0.445,,,,,,,,,,,,,,,,,18.271,0.088,18.182,0.144,,,,,60.0,
795.44,287831341,114.569481,-69.708694,54,66,b'073816.66-694231.3',57033.0597,2,0,7,0,1,0.976,,,,,,,,,17.272,0.015,17.231,0.078,16.885,0.025,17.136,0.263,16.544,0.007,16.613,0.12,16.443,0.007,16.554,0.087,60.0,
795.62,287847312,114.138065,-69.329356,101,36,b'073633.13-691945.6',57030.4748,0,0,3,0,1,0.636,,,,,,,,,,,,,18.444,0.05,18.683,0.207,18.259,0.036,18.612,0.19,18.156,0.088,18.74,0.316,9.4,287847313.0
795.77,287831343,114.550167,-69.715111,75,36,b'073812.03-694254.3',57030.4746,0,6,4,0,1,0.758,,,,,,,,,18.112,0.016,18.005,0.187,17.982,0.019,17.866,0.146,17.699,0.016,17.56,0.211,17.447,0.022,17.316,0.141,14.7,287831339.0
796.19,287847862,113.631418,-69.413351,13,36,b'073431.54-692448.0',57033.2158,0,0,11,1,1,0.994,15.41,0.014,15.412,0.025,15.045,0.043,15.049,0.107,13.752,0.003,13.78,0.006,13.37,0.003,13.382,0.018,13.08,0.007,13.09,0.041,12.971,0.003,13.004,0.037,60.0,
796.22,287834322,113.514099,-69.606981,273,36,b'073403.37-693625.1',57030.475,0,0,2,0,1,0.493,,,,,,,,,,,,,,,,,18.507,0.043,18.828,0.364,18.424,0.042,18.219,0.22,4.9,287834321.0
796.24,287832085,113.838558,-69.747477,74,36,b'073521.25-694450.9',57030.4746,0,0,4,0,1,0.787,,,,,,,,,18.47,0.046,18.311,0.19,18.168,0.023,18.077,0.155,17.68,0.013,17.661,0.132,17.754,0.008,18.007,0.166,60.0,
796.32,287834066,113.578451,-69.661734,31,87,b'073418.82-693942.2',57030.4747,0,0,2,0,1,0.523,,,,,,,,,18.53,0.016,18.4,0.171,,,,,,,,,17.751,0.038,17.725,0.126,60.0,
796.38,287831881,114.205279,-69.769855,12,38,b'073649.26-694611.4',57030.4746,0,0,2,0,1,0.657,,,,,,,,,,,,,18.68,0.017,18.88,0.316,18.243,0.044,18.395,0.294,,,,,60.0,
796.66,287799884,114.687211,-69.448079,77,37,b'073844.93-692653.0',57036.5063,0,0,3,0,1,0.584,,,,,,,,,,,,,16.676,0.013,16.743,0.139,16.091,0.013,16.114,0.069,15.889,0.021,15.86,0.078,60.0,
796.73,287799895,114.639397,-69.421039,31,205,b'073833.45-692515.9',57031.681,0,0,5,0,1,0.946,,,,,,,,,18.298,0.036,18.266,0.156,17.871,0.05,17.593,0.156,17.388,0.048,17.469,0.175,17.264,0.009,17.37,0.109,60.0,
796.94,287799660,114.757572,-69.530403,123,64,b'073901.82-693149.4',57030.4745,0,0,2,0,1,0.549,,,,,,,,,18.809,0.036,18.888,0.271,,,,,18.328,0.023,18.326,0.246,,,,,60.0,
798.19,287847325,113.995501,-69.333455,87,44,b'073558.91-692000.4',57030.4748,0,0,3,0,1,0.487,,,,,,,,,,,,,18.398,0.065,18.368,0.152,18.144,0.027,18.024,0.165,18.165,0.053,18.605,0.254,60.0,
798.46,287831607,114.431,-69.355914,35,69,b'073743.44-692121.2',57032.4855,0,0,3,0,1,0.788,,,,,,,,,,,,,,,,,17.853,0.038,18.216,0.189,17.365,0.055,17.51,0.108,60.0,
798.8,287832076,113.893227,-69.756815,31,36,b'073534.39-694524.5',57033.0597,0,0,7,0,1,0.982,,,,,,,,,16.644,0.003,16.633,0.052,16.306,0.017,16.299,0.128,16.051,0.035,16.117,0.079,15.959,0.013,16.025,0.038,60.0,
799.04,287831623,114.388556,-69.348277,76,36,b'073733.22-692053.7',57031.9828,0,0,4,0,1,0.796,,,,,,,,,,,,,18.01,0.016,18.107,0.175,17.571,0.019,17.781,0.184,17.186,0.03,17.629,0.698,60.0,
799.06,287831333,114.619348,-69.69122,58,167,b'073828.64-694128.4',57030.475,0,0,2,0,1,0.548,,,,,,,,,,,,,,,,,18.431,0.036,18.386,0.237,17.906,0.051,18.146,0.186,60.0,
799.06,287832086,113.823499,-69.745615,12,36,b'073517.64-694444.2',57030.4746,3,0,4,0,1,0.92,,,,,,,,,18.05,0.068,17.418,0.142,17.609,0.01,17.582,0.109,17.271,0.026,17.168,0.087,17.197,0.015,17.169,0.129,4.6,287832088.0
800.96,287832088,113.820252,-69.745603,242,142,b'073516.76-694443.8',57031.6811,3,0,5,0,1,0.928,,,,,,,,,18.146,0.036,18.129,0.156,17.584,0.015,17.697,0.103,17.392,0.028,17.697,0.164,17.015,0.232,16.576,0.523,4.6,287832086.0
801.66,287831188,114.666703,-69.669521,86,56,b'073839.97-694010.2',57032.4853,0,0,6,0,1,0.941,,,,,,,,,18.194,0.018,18.075,0.149,17.632,0.01,17.719,0.096,17.207,0.02,17.61,0.543,16.828,0.027,16.678,0.057,60.0,
801.68,287832046,113.905147,-69.75925,15,36,b'073537.24-694533.3',57033.2158,2,0,11,1,1,0.995,16.331,0.101,16.49,0.249,15.919,0.018,15.936,0.053,13.965,0.003,13.976,0.007,13.397,0.011,13.411,0.034,12.942,0.007,12.967,0.049,12.776,0.004,12.808,0.051,60.0,
801.76,287799893,114.665425,-69.432028,181,36,b'073839.69-692555.2',57030.475,0,0,2,0,1,0.496,,,,,,,,,,,,,,,,,18.262,0.034,18.352,0.229,18.383,0.047,18.599,0.28,60.0,
801.89,287832087,113.824133,-69.746628,161,258,b'073517.84-694448.9',57032.7364,2,0,8,0,1,0.98,,,,,17.478,0.043,17.955,0.16,16.709,0.01,16.738,0.044,16.359,0.031,16.418,0.184,16.086,0.015,16.003,0.205,16.051,0.009,16.038,0.216,4.9,287832086.0
802.0,287831605,114.446103,-69.357778,13,36,b'073747.06-692127.9',57030.4746,0,0,4,0,1,0.866,,,,,,,,,17.75,0.005,17.812,0.108,17.71,0.034,17.917,0.107,17.612,0.006,17.651,0.113,17.646,0.029,17.82,0.154,60.0,
802.01,287834296,113.55354,-69.648797,24,95,b'073412.84-693855.7',57031.9828,0,0,4,0,1,0.961,,,,,,,,,,,,,17.9,0.011,17.898,0.118,17.338,0.014,17.484,0.089,16.994,0.016,16.944,0.277,60.0,
802.42,287831164,114.722681,-69.630986,109,73,b'073853.44-693751.5',57030.4746,0,0,4,0,1,0.833,,,,,,,,,18.194,0.076,17.783,0.114,17.95,0.046,17.746,0.118,17.633,0.013,17.839,0.198,17.548,0.019,17.729,0.168,60.0,
802.57,287832455,113.505425,-69.500779,31,71,b'073401.30-693002.7',57030.475,0,0,2,0,1,0.642,,,,,,,,,,,,,,,,,18.378,0.02,18.362,0.162,17.991,0.05,17.754,0.193,6.1,287832456.0
802.7,287831217,114.764982,-69.554051,73,36,b'073903.59-693314.6',57030.4746,0,0,4,0,1,0.899,,,,,,,,,18.08,0.02,18.304,0.229,17.731,0.027,17.531,0.116,17.376,0.012,17.347,0.104,17.517,0.024,17.72,0.141,12.9,287831216.0
803.45,287831332,114.604159,-69.699293,22,36,b'073824.99-694157.4',57033.0597,0,0,7,0,1,0.981,,,,,,,,,16.47,0.006,16.434,0.044,16.084,0.058,16.062,0.066,15.633,0.012,15.638,0.031,15.534,0.006,15.616,0.061,60.0,
803.46,287831214,114.756023,-69.590022,13,36,b'073901.44-693524.0',57030.4748,0,0,1,0,1,0.444,,,,,,,,,,,,,,,,,18.608,0.06,18.558,0.227,,,,,60.0,
803.83,287831879,114.23381,-69.770493,108,52,b'073656.10-694613.7',57032.4853,0,0,6,0,1,0.933,,,,,,,,,17.666,0.015,17.833,0.121,17.442,0.012,17.545,0.111,17.148,0.009,17.347,0.299,17.177,0.095,17.402,0.098,60.0,
803.85,287831166,114.747545,-69.60461,42,55,b'073859.41-693616.5',57030.475,0,0,2,0,1,0.701,,,,,,,,,,,,,,,,,18.194,0.052,18.124,0.166,17.888,0.021,18.256,0.373,60.0,
804.52,287847993,113.610083,-69.419378,13,36,b'073426.42-692509.7',57033.2158,3,0,11,1,1,0.989,15.795,0.019,15.799,0.151,15.297,0.003,15.228,0.168,14.366,0.003,14.387,0.008,14.078,0.005,14.086,0.025,13.853,0.003,13.845,0.083,13.803,0.008,13.841,0.068,13.4,287847864.0
805.07,287847318,114.065307,-69.327742,24,100,b'073615.67-691939.8',57036.5065,0,0,2,0,1,0.911,,,,,,,,,,,,,,,,,15.961,0.004,15.798,0.067,15.413,0.007,15.411,0.059,10.0,287847319.0
805.39,287832077,113.874337,-69.756101,34,36,b'073529.83-694521.9',57033.0597,0,0,7,0,1,0.983,,,,,,,,,17.069,0.016,16.996,0.068,16.179,0.019,16.222,0.035,15.35,0.008,15.419,0.018,15.066,0.003,15.057,0.084,60.0,
806.62,287834298,113.538125,-69.64019,13,36,b'073409.15-693824.6',57030.475,0,0,2,0,1,0.689,,,,,,,,,,,,,,,,,17.886,0.021,18.01,0.142,17.686,0.01,17.775,0.184,60.0,
807.03,287830904,114.341264,-69.761742,12,36,b'073721.90-694542.2',57030.4751,0,0,1,0,1,0.483,,,,,,,,,,,,,,,,,,,,,18.793,0.084,18.974,0.363,60.0,
807.3,287847995,113.576962,-69.435513,42,86,b'073418.46-692607.8',57036.5063,0,0,3,0,1,0.527,,,,,,,,,,,,,16.597,0.024,16.673,0.117,16.348,0.014,16.128,0.067,16.217,0.018,16.386,0.127,60.0,
807.35,287799666,114.749114,-69.496419,13,36,b'073859.78-692947.1',57030.475,0,0,2,0,1,0.609,,,,,,,,,,,,,,,,,18.127,0.096,17.854,0.19,18.092,0.018,18.227,0.172,60.0,
807.63,287799661,114.760013,-69.514186,13,36,b'073902.40-693051.0',57030.4751,0,0,1,0,1,0.504,,,,,,,,,,,,,,,,,,,,,18.634,0.023,18.719,0.42,60.0,
807.71,287832446,113.485129,-69.560157,13,36,b'073356.43-693336.5',57030.4751,0,0,1,0,1,0.497,,,,,,,,,,,,,,,,,,,,,18.597,0.099,18.873,0.326,60.0,
807.84,287832431,113.562265,-69.444236,37,36,b'073414.94-692639.2',57036.5063,0,0,3,0,1,0.734,,,,,,,,,,,,,16.073,0.026,15.73,0.048,15.846,0.015,15.711,0.057,15.649,0.013,15.624,0.058,60.0,
808.04,287832456,113.501702,-69.499681,13,36,b'073400.40-692958.8',57030.4751,0,0,1,0,1,0.588,,,,,,,,,,,,,,,,,,,,,18.227,0.104,18.43,0.16,6.1,287832455.0
808.33,287834062,113.611851,-69.68541,151,91,b'073426.82-694107.4',57033.0597,2,0,7,0,1,0.955,,,,,,,,,17.661,0.011,17.701,0.108,17.273,0.019,17.61,0.493,16.953,0.05,17.125,0.068,16.913,0.017,17.361,0.404,60.0,
808.84,287834060,113.624388,-69.691276,12,36,b'073429.85-694128.5',57030.4748,0,0,1,0,1,0.514,,,,,,,,,,,,,,,,,18.419,0.028,18.719,0.257,,,,,60.0,
809.27,287831339,114.560848,-69.716815,29,36,b'073814.60-694300.5',57033.2158,4,32,11,1,1,1.0,14.282,0.026,14.308,0.046,14.021,0.026,14.047,0.023,11.226,0.009,11.257,0.003,10.448,0.012,10.428,0.036,9.82,0.016,9.816,0.074,9.54,0.011,9.561,0.082,14.7,287831343.0
809.48,287830331,114.402808,-69.753675,32,36,b'073736.67-694513.2',57033.0597,0,0,7,0,1,0.042,,,,,,,,,16.889,0.13,15.812,0.07,16.03,0.101,15.067,0.042,15.362,0.112,14.616,0.155,15.095,0.112,14.012,0.027,13.5,287830330.0
809.69,287830325,114.449667,-69.745208,12,36,b'073747.92-694442.7',57030.4751,0,0,1,0,1,0.492,,,,,,,,,,,,,,,,,,,,,18.374,0.06,18.844,0.183,60.0,
810.04,287832164,113.698834,-69.718985,27,80,b'073447.69-694308.1',57033.2158,0,0,11,1,1,0.986,15.885,0.016,15.882,0.04,15.385,0.058,15.361,0.184,14.684,0.003,14.695,0.011,14.393,0.003,14.403,0.041,14.214,0.015,14.214,0.062,14.186,0.014,14.21,0.089,8.1,287832163.0
810.69,287831609,114.415575,-69.349232,13,36,b'073739.73-692057.2',57030.4737,0,0,1,0,1,0.403,,,,,17.994,0.058,18.295,0.25,,,,,,,,,,,,,,,,,60.0,
810.69,287799957,114.585152,-69.39259,46,51,b'073820.43-692333.3',57030.4745,0,0,3,0,1,0.532,,,,,,,,,18.896,0.059,18.606,0.216,18.324,0.024,18.492,0.182,18.066,0.035,17.867,0.146,,,,,60.0,
810.81,287847852,113.707653,-69.37972,53,36,b'073449.83-692246.9',57030.4746,0,0,4,0,1,0.705,,,,,,,,,18.815,0.039,18.692,0.271,18.442,0.02,18.505,0.201,17.918,0.035,18.288,0.228,17.51,0.018,17.647,0.108,60.0,
810.95,287831604,114.472308,-69.36047,155,95,b'073753.35-692137.6',57030.475,0,0,2,0,1,0.498,,,,,,,,,,,,,,,,,18.194,0.057,18.313,0.188,17.94,0.023,18.154,0.213,60.0,
811.63,287831340,114.583403,-69.71024,12,64,b'073820.01-694236.8',57030.475,0,0,2,0,1,0.868,,,,,,,,,,,,,,,,,17.606,0.005,17.653,0.122,17.23,0.031,17.134,0.097,7.5,287831331.0
811.96,287847319,114.059081,-69.326038,13,36,b'073614.17-691933.7',57036.5067,0,0,1,0,1,0.439,,,,,,,,,,,,,,,,,,,,,17.223,0.061,17.288,0.163,10.0,287847318.0
811.96,287847865,113.650203,-69.398855,87,172,b'073436.05-692355.8',57030.4746,0,0,2,0,1,0.532,,,,,,,,,,,,,18.532,0.05,18.426,0.182,18.147,0.04,18.165,0.138,,,,,7.5,287847866.0
812.89,287847864,113.609693,-69.415656,16,36,b'073426.32-692456.3',57033.2158,3,0,11,1,1,1.0,13.6,0.008,13.604,0.026,13.175,0.006,13.164,0.006,12.199,0.003,12.22,0.003,11.864,0.012,11.862,0.034,11.62,0.012,11.599,0.05,11.549,0.002,11.546,0.044,13.4,287847993.0
813.09,287831189,114.65921,-69.679257,48,124,b'073838.19-694045.3',57033.0597,0,0,7,0,1,0.972,,,,,,,,,17.775,0.011,17.918,0.145,17.397,0.069,17.604,0.221,16.947,0.047,17.07,0.175,16.966,0.057,17.15,0.13,60.0,
813.36,287832163,113.701332,-69.720976,38,36,b'073448.31-694315.5',57030.4746,0,0,4,0,1,0.974,,,,,,,,,18.044,0.014,18.177,0.171,17.314,0.011,17.363,0.094,16.886,0.014,17.046,0.077,16.593,0.014,16.593,0.087,8.1,287832164.0
813.39,287847185,114.291421,-69.331902,116,61,b'073709.94-691954.8',57030.4748,0,0,3,0,1,0.699,,,,,,,,,,,,,18.119,0.073,18.031,0.132,17.926,0.033,18.153,0.203,17.785,0.03,18.019,0.167,60.0,
813.89,287831216,114.77392,-69.552297,13,55,b'073905.74-693308.2',57030.4746,0,0,2,0,1,0.606,,,,,,,,,,,,,18.359,0.058,18.096,0.168,17.797,0.022,17.609,0.156,,,,,12.9,287831217.0
814.2,287847866,113.645096,-69.399911,32,92,b'073434.82-692359.6',57030.4748,0,0,2,0,1,0.612,,,,,,,,,,,,,18.275,0.029,18.35,0.159,,,,,17.707,0.015,17.787,0.179,7.5,287847865.0
814.33,287831586,114.500468,-69.365991,25,36,b'073800.10-692157.5',57032.4849,0,0,9,1,1,0.984,17.752,0.035,17.874,0.108,17.401,0.032,17.608,0.215,15.379,0.003,15.425,0.015,14.826,0.007,14.841,0.016,14.414,0.004,14.449,0.031,14.252,0.003,14.271,0.052,60.0,
