objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J023611.525+144834.256',b'125770390480601989',39.0480208333,14.8095166667,0.119,0.119,3,0.324277849239,1600,79,268959744,32,b'',b'',,,55882.7570949,0,1,0,2,0,0,0.665,21.794,0.201,,,,,4120,,,,,,,,0,0.642,21.358,0.161,,,22.697,0.165,4120,,,,,,,,0,,,,,,,,0,13.273
b'PSO J023724.057+150822.949',b'126160393502398157',39.3502916667,15.139675,0.009,0.012,70,0.0385711947815,1600,78,512024576,61,b'02 37 24.057',b'+15 08 22.95',0.001,0.001,56047.3829167,5,13,8,18,15,16,1.0,20.125,0.045,19.61,0.056,19.561,0.053,16892216,1.0,19.316,0.055,18.59,0.014,18.694,0.031,16892216,1.0,18.641,0.05,18.095,0.023,18.106,0.043,16892216,1.0,18.554,0.02,17.693,0.014,17.976,0.025,16892216,1.0,18.333,0.031,17.54,0.035,17.752,0.03,16892216,13.276
b'PSO J023550.381+145627.688',b'125920389600209735',38.959925,14.941025,0.14,0.14,2,0.182198831981,1600,79,268959744,32,b'',b'',,,55429.5073958,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.581,20.279,0.097,20.164,0.07,19.877,0.157,4112,,,,,,,,0,13.278
b'PSO J023549.572+150056.448',b'126010389565039265',38.9565875,15.0156527778,0.105,0.105,2,0.104218947798,1600,79,310456320,37,b'',b'',,,55479.545787,0,2,0,0,0,0,0.0,18.469,0.213,16.894,0.084,17.625,0.161,16777752,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.28
b'PSO J023729.931+150636.464',b'126130393747982547',39.3747166667,15.1101277778,0.106,0.106,2,0.538029594848,1600,78,268959744,32,b'',b'',,,55429.5103356,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.771,20.09,0.238,19.968,0.178,19.434,0.393,4112,,,,,,,,0,13.28
b'PSO J023549.267+145819.695',b'125960389552807076',38.9553,14.9721027778,0.004,0.002,73,0.0260797832404,1600,79,503635968,60,b'02 35 49.268',b'+14 58 19.70',0.001,0.001,56067.1484607,5,14,8,22,16,13,1.0,15.957,0.004,16.011,0.003,15.954,0.003,115000,0.999,15.325,0.003,15.374,0.003,15.321,0.002,115000,1.0,15.068,0.001,15.112,0.002,15.059,0.002,115000,0.999,14.955,0.003,14.99,0.002,14.94,0.002,115000,0.999,14.868,0.002,14.862,0.003,14.85,0.003,115000,13.281
b'PSO J023718.901+150932.765',b'126190393284401418',39.3287916667,15.1590722222,0.105,0.105,3,0.404286547009,1600,78,310456320,37,b'',b'',,,56400.3466667,0,0,0,2,0,1,,,,,,,,0,,,,,,,,0,0.999,21.947,0.18,20.543,0.135,21.157,0.18,16777496,,,,,,,,0,0.253,20.171,0.128,19.607,0.182,19.656,0.128,16777752,13.281
b'PSO J023702.379+144643.362',b'125730392600424928',39.2599125,14.7787111111,0.167,0.167,2,0.0972265257474,1600,68,268959744,32,b'',b'',,,55530.2856597,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.76,21.181,0.412,,,21.29,0.0,4120,,,,,,,,0,,,,,,,,0,13.284
b'PSO J023734.621+150431.824',b'126090393943141239',39.3942791667,15.0754638889,0.119,0.119,2,0.759691797904,1600,78,302067712,36,b'',b'',,,55714.7343403,0,0,1,1,0,0,,,,,,,,0,0.919,21.778,0.168,21.684,0.195,21.766,0.168,280,0.994,21.235,0.169,21.244,0.312,21.208,0.169,280,,,,,,,,0,,,,,,,,0,13.284
b'PSO J023738.766+150048.131',b'126010394116676378',39.4115458333,15.0133277778,0.023,0.023,2,0.378399927521,1600,78,268513280,32,b'',b'',,,56972.460706,0,0,0,1,1,0,,,,,,,,0,,,,,,,,0,0.999,18.442,0.018,19.291,0.054,19.197,0.018,24,0.648,21.889,0.326,,,23.357,0.326,4120,,,,,,,,0,13.285
