recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
42762318,159.209007,-27.718497,0.557,1.679,20161476,2,3,1.337,0.0,16.652,0.0,17.99,0.0,17.448,0.084,,,,
42762319,159.238542,-27.689966,0.147,0.098,20131359,6,30,0.605,0.031,12.175,0.023,12.781,0.021,12.424,0.025,12.018,0.025,11.889,0.034
42762320,159.22429,-27.705301,0.568,0.639,20161476,4,19,0.523,0.069,15.047,0.031,15.57,0.062,15.291,0.02,14.928,0.058,14.856,0.121
42762321,159.202248,-27.708654,1.01,1.2,20161476,2,6,0.91,0.541,16.792,0.435,17.702,0.321,17.131,0.0,16.452,0.0,,
42762322,159.253363,-27.678253,0.236,0.403,20131359,6,28,1.029,0.019,12.842,0.005,13.872,0.018,13.318,0.017,12.53,0.027,12.223,0.044
42762323,159.291144,-27.658395,0.823,0.405,20161476,4,18,0.879,0.144,14.691,0.055,15.57,0.133,15.087,0.086,14.49,0.05,14.151,0.111
42762324,159.233905,-27.645778,0.451,0.476,20161476,4,25,0.734,0.104,15.143,0.077,15.878,0.07,15.464,0.037,14.933,0.028,14.745,0.079
42762325,159.246132,-27.649845,0.384,0.205,20161476,4,20,0.763,0.074,14.189,0.014,14.952,0.073,14.518,0.036,14.001,0.028,13.808,0.026
42762326,159.26437,-27.638772,0.27,0.312,20161476,4,17,0.766,0.072,14.18,0.043,14.946,0.058,14.507,0.013,13.942,0.017,13.783,0.03
42762710,159.182586,-27.683815,1.624,1.156,20161476,2,8,1.301,0.49,16.428,0.021,17.73,0.49,16.848,0.041,16.088,0.042,,
42762711,159.177293,-27.656362,1.316,0.241,20131359,3,14,1.307,0.291,6.801,0.289,8.108,0.034,,,,,,
42762712,159.194651,-27.664181,0.678,1.267,20161476,2,4,1.254,0.117,15.524,0.0,16.778,0.117,15.913,0.0,15.128,0.0,,
42762713,159.140304,-27.647957,1.088,0.702,20161476,3,11,0.934,0.14,16.257,0.093,17.191,0.104,16.616,0.017,15.985,0.011,15.713,0.0
42762714,159.247066,-27.609024,0.869,1.308,20161476,3,11,0.836,0.122,16.201,0.121,17.037,0.011,16.533,0.046,16.103,0.123,15.969,0.0
42762715,159.147521,-27.620615,0.286,0.323,20161476,4,20,0.75,0.066,14.143,0.014,14.893,0.064,14.467,0.013,13.901,0.023,13.64,0.036
42762717,159.130175,-27.60827,0.192,0.329,20131359,5,22,0.63,0.044,13.853,0.021,14.483,0.038,14.119,0.029,13.723,0.032,13.566,0.044
42762718,159.161571,-27.560199,0.181,0.138,20131359,6,30,1.042,0.023,11.735,0.02,12.777,0.01,12.212,0.023,11.414,0.029,11.078,0.057
42762719,159.170989,-27.561127,0.611,0.336,20161476,4,20,1.074,0.094,14.879,0.027,15.953,0.09,15.374,0.044,14.534,0.03,14.083,0.087
42762745,159.148735,-27.518284,0.304,0.299,20131359,5,23,1.093,0.033,13.408,0.019,14.501,0.026,13.915,0.023,13.045,0.042,12.56,0.069
42762746,159.155554,-27.522223,0.592,0.666,20131359,5,22,0.858,0.078,13.421,0.073,14.279,0.026,13.81,0.014,13.13,0.07,12.898,0.094
42762936,159.525962,-27.799734,0.831,0.586,20161476,3,15,0.733,0.083,15.535,0.013,16.268,0.082,15.892,0.013,15.411,0.006,15.23,0.08
42762938,159.529592,-27.790425,0.685,0.673,20161476,3,14,0.884,0.109,15.979,0.044,16.862,0.1,16.387,0.051,15.826,0.021,15.464,0.079
42762939,159.56943,-27.772275,1.157,0.897,20161476,3,5,0.763,0.107,16.974,0.0,17.736,0.107,17.504,0.122,16.626,0.0,,
42762940,159.479238,-27.824009,1.172,0.902,20131359,2,6,0.333,0.056,14.858,0.04,15.191,0.039,14.843,0.0,14.807,0.0,,
42762941,159.47521,-27.804007,0.914,0.34,20161476,4,17,0.694,0.065,15.211,0.046,15.906,0.046,15.497,0.047,15.068,0.063,14.824,0.057
42762942,159.490807,-27.769719,0.225,0.196,20131359,5,24,0.637,0.033,13.478,0.018,14.115,0.028,13.744,0.019,13.306,0.035,13.146,0.031
42762943,159.525066,-27.7549,0.333,0.215,20131359,6,29,0.667,0.029,12.846,0.014,13.513,0.026,13.134,0.026,12.69,0.019,12.509,0.042
42762944,159.515574,-27.765913,0.749,1.258,20161476,4,18,1.098,0.116,15.852,0.032,16.951,0.112,16.376,0.118,15.508,0.095,15.185,0.049
42762945,159.543679,-27.753899,0.635,1.419,20161476,3,11,0.899,0.0,16.327,0.0,17.226,0.0,16.673,0.075,16.019,0.085,15.658,0.177
42762946,159.555061,-27.749792,0.866,0.765,20161476,2,8,1.116,0.0,16.069,0.0,17.185,0.0,16.654,0.124,15.859,0.006,15.585,0.124
42762947,159.560716,-27.742157,0.773,0.936,20161476,3,18,0.523,0.011,16.586,0.009,17.109,0.006,16.771,0.014,16.414,0.116,,
42762948,159.482426,-27.745445,0.146,0.256,20161476,4,20,0.607,0.044,14.051,0.03,14.658,0.033,14.311,0.019,13.917,0.031,13.774,0.062
42762949,159.508718,-27.748764,0.906,0.325,20161476,2,4,,,,,,,17.155,0.028,16.584,0.08,,
42762950,159.516726,-27.734069,0.943,0.633,20161476,3,13,0.812,0.219,15.965,0.022,16.777,0.218,16.389,0.045,15.805,0.054,15.513,0.0
42762951,159.630358,-27.7421,0.343,0.273,20131359,6,24,0.867,0.039,13.539,0.014,14.405,0.037,13.923,0.025,13.272,0.023,13.009,0.063
42762952,159.594351,-27.729239,1.439,0.838,20161476,2,4,0.752,0.0,16.85,0.0,17.602,0.0,17.15,0.064,16.438,0.0,,
42762953,159.593235,-27.719983,0.809,0.761,20161476,4,17,0.772,0.124,15.284,0.069,16.056,0.103,15.626,0.023,15.08,0.032,14.888,0.066
42762955,159.648974,-27.670376,0.9,1.074,20161476,2,10,1.168,0.09,16.215,0.017,17.383,0.088,16.809,0.035,15.819,0.017,15.458,0.0
42762956,159.558001,-27.727218,0.403,1.272,20161476,4,11,1.132,0.0,16.212,0.0,17.344,0.0,16.83,0.071,15.751,0.047,15.32,0.125
42762957,159.54122,-27.711977,1.249,0.718,20161476,2,4,,,,,,,17.436,0.131,16.808,0.066,,
42762958,159.597692,-27.67917,0.851,1.047,20161476,3,13,1.154,0.251,16.0,0.055,17.154,0.245,16.604,0.114,15.511,0.059,15.05,0.174
42762959,159.582319,-27.655558,1.431,1.134,20161476,2,4,,,,,,,17.741,0.117,16.631,0.032,,
42762960,159.616698,-27.649893,0.814,1.193,20161476,3,12,1.06,0.116,15.902,0.079,16.962,0.084,16.418,0.055,15.611,0.029,15.368,0.02
42762989,159.659558,-27.656766,0.77,0.971,20161476,3,14,0.747,0.149,16.349,0.09,17.096,0.118,16.691,0.024,16.14,0.095,15.905,0.147
42763012,159.430066,-27.754912,0.42,0.394,20131359,5,22,0.699,0.05,14.117,0.01,14.815,0.049,14.415,0.036,13.917,0.028,13.749,0.058
42763013,159.437943,-27.776574,0.366,0.309,20131359,5,25,1.666,0.059,13.177,0.017,14.843,0.056,13.928,0.025,12.557,0.04,10.873,0.11
42763014,159.453049,-27.762912,0.674,0.789,20161476,2,2,,,,,,,17.41,0.063,,,,
42763015,159.453123,-27.762355,0.253,1.413,20161476,2,4,1.01,0.0,16.832,0.0,17.842,0.0,,,16.51,0.014,,
42763016,159.470579,-27.739848,0.505,0.281,20161476,4,19,0.685,0.065,15.058,0.029,15.743,0.058,15.362,0.022,14.945,0.057,14.708,0.157
42763017,159.421813,-27.729791,1.099,1.045,20161476,2,10,0.726,0.072,16.217,0.017,16.944,0.069,16.643,0.033,15.964,0.056,15.682,0.081
42763018,159.490399,-27.729403,0.279,0.25,20131359,6,25,0.734,0.038,13.371,0.008,14.105,0.037,13.685,0.027,13.182,0.024,13.005,0.047
42763019,159.481437,-27.696748,0.695,0.947,20161476,3,8,0.583,0.156,16.753,0.0,17.336,0.156,17.107,0.047,16.024,0.023,15.575,0.202
42763020,159.493585,-27.692539,0.181,0.209,20161476,4,20,0.62,0.066,14.353,0.051,14.972,0.042,14.607,0.023,14.177,0.035,14.009,0.064
42763021,159.466117,-27.675394,0.485,0.562,20161476,4,18,0.674,0.077,15.244,0.043,15.918,0.064,15.501,0.026,15.071,0.058,14.948,0.116
42763022,159.423427,-27.693599,0.571,1.043,20131359,4,16,0.743,0.076,15.553,0.013,16.295,0.075,15.925,0.017,15.389,0.029,15.277,0.117
42763023,159.354162,-27.703147,0.978,1.208,20161476,3,11,1.261,0.213,16.19,0.085,17.451,0.196,16.905,0.0,15.776,0.0,15.368,0.082
42763024,159.430419,-27.681478,0.438,0.655,20161476,4,14,0.634,0.105,15.655,0.045,16.289,0.095,15.942,0.069,15.532,0.006,15.334,0.13
42763025,159.453573,-27.670841,0.797,0.831,20161476,3,7,,,,,,,17.004,0.067,16.546,0.107,16.123,0.0
42763026,159.426741,-27.64085,0.23,0.321,20131359,6,35,0.644,0.024,11.371,0.011,12.015,0.021,11.637,0.023,11.212,0.024,11.066,0.046
42763027,159.440277,-27.630434,0.439,0.212,20161476,4,20,0.606,0.06,14.672,0.017,15.278,0.057,14.935,0.045,14.515,0.025,14.362,0.036
42763028,159.527438,-27.680022,0.823,0.632,20161476,3,12,1.232,0.037,15.885,0.01,17.117,0.036,16.527,0.082,15.428,0.082,15.025,0.043
