recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
447505,41.580977,27.365804,0.099,0.098,20121320,4,20,1.403,0.013,12.339,0.006,13.742,0.011,13.026,0.021,11.878,0.02,11.394,0.027
447506,41.605113,27.359994,0.053,0.064,20121320,4,20,1.05,0.015,11.276,0.011,12.326,0.011,11.785,0.019,10.949,0.02,10.565,0.029
447507,41.669365,27.380396,0.598,1.069,20151319,2,8,0.934,0.0,16.041,0.0,16.976,0.0,16.512,0.028,15.786,0.054,15.55,0.011
447508,41.695847,27.410639,0.984,0.869,20121320,3,11,0.412,0.017,16.338,0.016,16.749,0.008,16.449,0.05,16.143,0.063,15.677,0.0
447510,41.848428,27.345257,0.305,0.291,20121320,6,30,1.026,0.088,13.197,0.065,14.223,0.058,13.688,0.044,12.87,0.072,12.528,0.039
447511,41.898107,27.352003,0.727,0.741,20121320,2,4,,,,,,,16.553,0.096,15.929,0.087,,
447512,41.853456,27.359194,0.984,0.81,20121320,5,19,0.861,0.076,15.84,0.017,16.701,0.074,16.184,0.05,15.647,0.082,15.405,0.078
447513,41.873785,27.369339,0.866,0.973,20151319,3,11,0.775,0.136,16.137,0.136,16.911,0.011,16.466,0.056,15.96,0.135,15.592,0.0
447514,41.888515,27.37623,1.06,0.937,20121320,4,12,0.871,0.197,16.423,0.174,17.294,0.091,16.818,0.074,16.225,0.044,,
447515,41.813966,27.365758,0.08,0.102,20121320,4,20,1.038,0.017,12.169,0.015,13.207,0.008,12.652,0.011,11.846,0.024,11.489,0.041
447516,41.822997,27.410534,1.044,1.016,20121320,3,9,0.564,0.0,16.562,0.0,17.126,0.0,16.955,0.088,16.284,0.068,15.976,0.065
447517,41.831175,27.430415,0.58,0.647,20121320,4,12,0.672,0.0,16.107,0.0,16.779,0.0,16.448,0.082,15.714,0.05,15.416,0.04
447518,41.831889,27.419664,0.64,0.581,20121320,4,20,0.957,0.079,15.376,0.058,16.333,0.053,15.838,0.024,15.104,0.016,14.752,0.038
447519,41.898121,27.405253,0.14,0.085,20121320,4,20,1.356,0.017,12.639,0.014,13.995,0.009,13.29,0.017,12.176,0.025,11.701,0.034
447520,41.913788,27.411975,1.307,0.674,20121320,3,10,1.188,0.154,16.101,0.095,17.289,0.121,16.677,0.049,15.666,0.053,15.351,0.178
447525,41.866844,27.421726,1.208,0.776,20121320,4,19,0.724,0.091,15.888,0.02,16.612,0.089,16.233,0.018,15.659,0.012,15.604,0.132
447530,41.74419,27.386272,1.161,0.479,20121320,3,11,1.427,0.0,15.995,0.0,17.422,0.0,16.707,0.107,15.329,0.047,14.126,0.087
447531,41.806487,27.42949,0.628,1.579,20121320,2,4,0.667,0.162,16.949,0.0,17.617,0.162,17.266,0.0,16.718,0.0,,
447532,41.807095,27.429948,0.77,0.522,20121320,2,2,,,,,,,17.124,0.0,17.021,0.15,,
447534,41.711136,27.420933,0.509,0.441,20121320,4,19,0.728,0.034,15.438,0.026,16.167,0.021,15.737,0.048,15.21,0.033,14.957,0.193
447535,41.717139,27.426075,0.124,0.137,20121320,4,20,0.693,0.027,13.803,0.021,14.496,0.016,14.124,0.009,13.612,0.021,13.414,0.06
447537,41.738729,27.447007,0.745,1.086,20121320,3,12,0.68,0.043,16.101,0.037,16.781,0.022,16.364,0.046,15.926,0.108,15.724,0.018
